log10_mh_msun,log10_epsilon_lower,log10_epsilon_mid,log10_epsilon_upper,log10_mstar_over_mh_lower,log10_mstar_over_mh_mid,log10_mstar_over_mh_upper
9.248058,-5.343662,-3.750196,-2.156729,-6.120945,-4.527479,-2.934013
9.253044,-5.336293,-3.745540,-2.154787,-6.113577,-4.522824,-2.932070
9.258031,-5.328902,-3.740869,-2.152836,-6.106186,-4.518153,-2.930119
9.263017,-5.321490,-3.736183,-2.150876,-6.098773,-4.513466,-2.928159
9.268003,-5.314055,-3.731481,-2.148907,-6.091339,-4.508765,-2.926191
9.272989,-5.306598,-3.726764,-2.146930,-6.083882,-4.504048,-2.924213
9.277976,-5.299120,-3.722032,-2.144944,-6.076404,-4.499315,-2.922227
9.282962,-5.291620,-3.717284,-2.142948,-6.068904,-4.494568,-2.920232
9.287948,-5.284099,-3.712522,-2.140945,-6.061382,-4.489805,-2.918228
9.292935,-5.276556,-3.707744,-2.138932,-6.053840,-4.485028,-2.916216
9.297921,-5.268992,-3.702951,-2.136911,-6.046275,-4.480235,-2.914194
9.302907,-5.261406,-3.698144,-2.134881,-6.038690,-4.475427,-2.912164
9.307893,-5.253800,-3.693321,-2.132842,-6.031083,-4.470604,-2.910125
9.312880,-5.246172,-3.688483,-2.130794,-6.023456,-4.465767,-2.908078
9.317866,-5.238524,-3.683631,-2.128738,-6.015807,-4.460914,-2.906021
9.322852,-5.230854,-3.678764,-2.126673,-6.008138,-4.456047,-2.903956
9.327839,-5.223164,-3.673882,-2.124599,-6.000448,-4.451165,-2.901883
9.332825,-5.215453,-3.668985,-2.122517,-5.992737,-4.446268,-2.899800
9.337811,-5.207722,-3.664074,-2.120425,-5.985006,-4.441357,-2.897709
9.342798,-5.199970,-3.659148,-2.118325,-5.977254,-4.436431,-2.895609
9.347784,-5.192198,-3.654207,-2.116217,-5.969482,-4.431491,-2.893500
9.352770,-5.184406,-3.649253,-2.114099,-5.961690,-4.426536,-2.891383
9.357756,-5.176594,-3.644283,-2.111973,-5.953877,-4.421567,-2.889256
9.362743,-5.168761,-3.639300,-2.109838,-5.946045,-4.416583,-2.887122
9.367729,-5.160909,-3.634302,-2.107695,-5.938192,-4.411585,-2.884978
9.372715,-5.153037,-3.629289,-2.105542,-5.930320,-4.406573,-2.882826
9.377702,-5.145145,-3.624263,-2.103381,-5.922428,-4.401547,-2.880665
9.382688,-5.137233,-3.619222,-2.101212,-5.914517,-4.396506,-2.878495
9.387674,-5.129302,-3.614168,-2.099033,-5.906586,-4.391451,-2.876317
9.392661,-5.121352,-3.609099,-2.096846,-5.898635,-4.386382,-2.874130
9.397647,-5.113382,-3.604016,-2.094651,-5.890665,-4.381300,-2.871934
9.402633,-5.105393,-3.598919,-2.092446,-5.882676,-4.376203,-2.869730
9.407619,-5.097385,-3.593809,-2.090233,-5.874668,-4.371092,-2.867517
9.412606,-5.089357,-3.588684,-2.088011,-5.866641,-4.365968,-2.865295
9.417592,-5.081311,-3.583546,-2.085781,-5.858595,-4.360830,-2.863065
9.422578,-5.073246,-3.578394,-2.083542,-5.850530,-4.355678,-2.860825
9.427565,-5.065163,-3.573228,-2.081294,-5.842446,-4.350512,-2.858578
9.432551,-5.057060,-3.568049,-2.079038,-5.834344,-4.345333,-2.856321
9.437537,-5.048940,-3.562856,-2.076773,-5.826223,-4.340140,-2.854056
9.442524,-5.040800,-3.557650,-2.074499,-5.818084,-4.334933,-2.851783
9.447510,-5.032643,-3.552430,-2.072217,-5.809926,-4.329713,-2.849500
9.452496,-5.024467,-3.547197,-2.069926,-5.801751,-4.324480,-2.847210
9.457482,-5.016273,-3.541950,-2.067626,-5.793557,-4.319233,-2.844910
9.462469,-5.008061,-3.536690,-2.065318,-5.785345,-4.313973,-2.842602
9.467455,-4.999831,-3.531416,-2.063001,-5.777115,-4.308700,-2.840285
9.472441,-4.991584,-3.526130,-2.060676,-5.768867,-4.303413,-2.837960
9.477428,-4.983318,-3.520830,-2.058342,-5.760602,-4.298114,-2.835625
9.482414,-4.975036,-3.515517,-2.055999,-5.752319,-4.292801,-2.833283
9.487400,-4.966735,-3.510192,-2.053648,-5.744019,-4.287475,-2.830932
9.492387,-4.958417,-3.504853,-2.051288,-5.735701,-4.282136,-2.828572
9.497373,-4.950082,-3.499501,-2.048920,-5.727365,-4.276784,-2.826203
9.502359,-4.941730,-3.494136,-2.046543,-5.719013,-4.271420,-2.823826
9.507345,-4.933360,-3.488758,-2.044157,-5.710644,-4.266042,-2.821440
9.512332,-4.924973,-3.483368,-2.041763,-5.702257,-4.260652,-2.819046
9.517318,-4.916570,-3.477965,-2.039360,-5.693854,-4.255248,-2.816643
9.522304,-4.908150,-3.472549,-2.036948,-5.685433,-4.249833,-2.814232
9.527291,-4.899713,-3.467121,-2.034528,-5.676996,-4.244404,-2.811812
9.532277,-4.891259,-3.461680,-2.032100,-5.668543,-4.238963,-2.809383
9.537263,-4.882789,-3.456226,-2.029663,-5.660073,-4.233509,-2.806946
9.542249,-4.874303,-3.450760,-2.027217,-5.651586,-4.228043,-2.804501
9.547236,-4.865800,-3.445281,-2.024763,-5.643083,-4.222565,-2.802046
9.552222,-4.857281,-3.439790,-2.022300,-5.634564,-4.217074,-2.799584
9.557208,-4.848746,-3.434287,-2.019829,-5.626029,-4.211571,-2.797112
9.562195,-4.840194,-3.428772,-2.017349,-5.617478,-4.206055,-2.794632
9.567181,-4.831627,-3.423244,-2.014860,-5.608911,-4.200527,-2.792144
9.572167,-4.823045,-3.417704,-2.012363,-5.600328,-4.194987,-2.789647
9.577154,-4.814446,-3.412152,-2.009858,-5.591730,-4.189435,-2.787141
9.582140,-4.805832,-3.406588,-2.007344,-5.583115,-4.183871,-2.784627
9.587126,-4.797202,-3.401012,-2.004821,-5.574486,-4.178295,-2.782105
9.592112,-4.788557,-3.395424,-2.002290,-5.565841,-4.172707,-2.779574
9.597099,-4.779897,-3.389824,-1.999751,-5.557180,-4.167107,-2.777034
9.602085,-4.771221,-3.384212,-1.997202,-5.548505,-4.161495,-2.774486
9.607071,-4.762530,-3.378588,-1.994646,-5.539814,-4.155872,-2.771929
9.612058,-4.753825,-3.372953,-1.992081,-5.531108,-4.150236,-2.769364
9.617044,-4.745104,-3.367306,-1.989507,-5.522388,-4.144589,-2.766791
9.622030,-4.736369,-3.361647,-1.986925,-5.513652,-4.138930,-2.764208
9.627017,-4.727619,-3.355976,-1.984334,-5.504902,-4.133260,-2.761618
9.632003,-4.718854,-3.350295,-1.981735,-5.496138,-4.127578,-2.759019
9.636989,-4.710075,-3.344601,-1.979128,-5.487358,-4.121885,-2.756411
9.641975,-4.701281,-3.338896,-1.976511,-5.478565,-4.116180,-2.753795
9.646962,-4.692473,-3.333180,-1.973887,-5.469757,-4.110464,-2.751170
9.651948,-4.683651,-3.327453,-1.971254,-5.460935,-4.104736,-2.748537
9.656934,-4.674815,-3.321714,-1.968612,-5.452099,-4.098997,-2.745896
9.661921,-4.665965,-3.315964,-1.965962,-5.443249,-4.093247,-2.743246
9.666907,-4.657101,-3.310202,-1.963304,-5.434384,-4.087486,-2.740587
9.671893,-4.648223,-3.304430,-1.960637,-5.425507,-4.081714,-2.737921
9.676880,-4.639332,-3.298647,-1.957962,-5.416615,-4.075930,-2.735245
9.681866,-4.630426,-3.292852,-1.955278,-5.407710,-4.070136,-2.732561
9.686852,-4.621508,-3.287047,-1.952586,-5.398791,-4.064330,-2.729869
9.691838,-4.612576,-3.281230,-1.949885,-5.389859,-4.058514,-2.727168
9.696825,-4.603630,-3.275403,-1.947176,-5.380914,-4.052687,-2.724459
9.701811,-4.594672,-3.269565,-1.944458,-5.371955,-4.046849,-2.721742
9.706797,-4.585700,-3.263716,-1.941732,-5.362984,-4.041000,-2.719016
