z	kind	Muv	our_phi	inst_phi	ratio
12.5	dust	-15.774436	1.861411386368e-03	3.134434700451e-03	5.938587223081e-01
12.5	dust	-15.729323	1.937619553671e-03	3.257333746142e-03	5.948483344595e-01
12.5	dust	-15.684211	2.016947764618e-03	3.385051579550e-03	5.958395957105e-01
12.5	dust	-15.639098	2.099523757123e-03	3.517777142052e-03	5.968325088093e-01
12.5	dust	-15.593985	2.185480498826e-03	3.655706783289e-03	5.978270765085e-01
12.5	dust	-15.548872	2.274956401205e-03	3.799044551636e-03	5.988233015653e-01
12.5	dust	-15.503759	2.368095542450e-03	3.948002496068e-03	5.998211867415e-01
12.5	dust	-15.458647	2.465047899469e-03	4.102800979854e-03	6.008207348037e-01
12.5	dust	-15.413534	2.565969589381e-03	4.263669006555e-03	6.018219485228e-01
12.5	dust	-15.368421	2.671023120909e-03	4.430844558809e-03	6.028248306745e-01
12.5	dust	-15.323308	2.780377656054e-03	4.604574950387e-03	6.038293840391e-01
12.5	dust	-15.278195	2.894209282492e-03	4.785117192066e-03	6.048356114016e-01
12.5	dust	-15.233083	3.012701297114e-03	4.972738371842e-03	6.058435155515e-01
12.5	dust	-15.187970	3.136044501184e-03	5.167716050045e-03	6.068530992830e-01
12.5	dust	-15.142857	3.264437507570e-03	5.370338669959e-03	6.078643653949e-01
12.5	dust	-15.097744	3.398087060566e-03	5.580905984532e-03	6.088773166909e-01
12.5	dust	-15.052632	3.537208368795e-03	5.799729499819e-03	6.098919559792e-01
12.5	dust	-15.007519	3.682025451752e-03	6.027132935818e-03	6.109082860725e-01
12.5	dust	-14.962406	3.832771500529e-03	6.263452705364e-03	6.119263097886e-01
12.5	dust	-14.917293	3.986437805477e-03	6.491073325456e-03	6.141415457199e-01
12.5	dust	-14.872180	4.144982979983e-03	6.719917390378e-03	6.168205260853e-01
12.5	dust	-14.827068	4.309833676758e-03	6.956829397754e-03	6.195111925771e-01
12.5	dust	-14.781955	4.481240673610e-03	7.202093784479e-03	6.222135961721e-01
12.5	dust	-14.736842	4.659464722063e-03	7.456005015327e-03	6.249277880694e-01
12.5	dust	-14.691729	4.844776944029e-03	7.718867936487e-03	6.276538196913e-01
12.5	dust	-14.646617	5.037459244246e-03	7.990998141558e-03	6.303917426847e-01
12.5	dust	-14.601504	5.237804739126e-03	8.272722350454e-03	6.331416089213e-01
12.5	dust	-14.556391	5.446118202652e-03	8.564378801665e-03	6.359034704996e-01
12.5	dust	-14.511278	5.662716530019e-03	8.866317658344e-03	6.386773797451e-01
12.5	dust	-14.466165	5.887929219703e-03	9.178901428716e-03	6.414633892116e-01
12.5	dust	-14.421053	6.122098874710e-03	9.502505401303e-03	6.442615516820e-01
12.5	dust	-14.375940	6.365581723758e-03	9.837518095498e-03	6.470719201697e-01
12.5	dust	-14.330827	6.618748163189e-03	1.018434172802e-02	6.498945479192e-01
12.5	dust	-14.285714	6.881983320427e-03	1.054339269583e-02	6.527294884074e-01
12.5	dust	-14.240602	7.155687639853e-03	1.091510207602e-02	6.555767953442e-01
12.5	dust	-14.195489	7.440277491978e-03	1.129991614342e-02	6.584365226740e-01
12.5	dust	-14.150376	7.736185806844e-03	1.169829690633e-02	6.613087245766e-01
12.5	dust	-14.105263	8.043862732613e-03	1.211072266129e-02	6.641934554679e-01
12.5	dust	-14.060150	8.363776320350e-03	1.253768856723e-02	6.670907700013e-01
12.5	dust	-14.015038	8.651718205844e-03	1.258963822420e-02	6.872094377748e-01
12.5	dust	-13.969925	8.936194998259e-03	1.253030870505e-02	7.131663878848e-01
12.5	dust	-13.924812	9.230025660449e-03	1.247125878025e-02	7.401037716471e-01
12.5	dust	-13.879699	9.533517756622e-03	1.241248713220e-02	7.680586215383e-01
12.5	dust	-13.834586	9.846988963995e-03	1.235399244951e-02	7.970693688082e-01
12.5	dust	-13.789474	1.017076740531e-02	1.229577342696e-02	8.271758963136e-01
12.5	dust	-13.744361	1.050519199232e-02	1.223782876548e-02	8.584195933476e-01
12.5	dust	-13.699248	1.085061278049e-02	1.218015717212e-02	8.908434125403e-01
12.5	dust	-13.654135	1.120739133546e-02	1.212275736003e-02	9.244919289082e-01
12.5	dust	-13.609023	1.157590111151e-02	1.206562804843e-02	9.594114011340e-01
12.5	dust	-13.563910	1.195652784243e-02	1.200876796257e-02	9.956498351619e-01
12.5	dust	-13.518797	1.234966994531e-02	1.195217583369e-02	1.033257050194e+00
12.5	dust	-13.473684	1.275573893760e-02	1.189585039903e-02	1.072284747179e+00
12.5	dust	-13.428571	1.317515986782e-02	1.183979040179e-02	1.112786579890e+00
12.5	dust	-13.383459	1.360837176048e-02	1.178399459106e-02	1.154818228685e+00
12.5	dust	-13.338346	1.405582807567e-02	1.172846172186e-02	1.198437477054e+00
12.5	dust	-13.293233	1.451799718365e-02	1.167319055504e-02	1.243704291058e+00
12.5	dust	-13.248120	1.499536285516e-02	1.161817985733e-02	1.290680901768e+00
12.5	dust	-13.203008	1.548842476780e-02	1.156342840124e-02	1.339431890817e+00
12.5	dust	-13.157895	1.599769902901e-02	1.150893496508e-02	1.390024279184e+00
12.5	dust	-13.112782	1.568672510193e-02	1.112055200678e-02	1.410606694017e+00
12.5	dust	-13.067669	1.521312052267e-02	1.067800811720e-02	1.424715204905e+00
