z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+08	-2.57323009	-2.39809295	-2.48566152	8.164712212911e-03
6.000000	1.000000e+08	-2.39809295	-2.22295580	-2.31052437	7.443179505723e-03
6.000000	1.000000e+08	-2.22295580	-2.04781866	-2.13538723	5.582384629292e-03
6.000000	1.000000e+08	-2.04781866	-1.87268152	-1.96025009	4.898827327746e-03
6.000000	1.000000e+08	-1.87268152	-1.69754438	-1.78511295	3.949442186710e-03
6.000000	1.000000e+08	-1.69754438	-1.52240723	-1.60997580	3.512725021834e-03
6.000000	1.000000e+08	-1.52240723	-1.34727009	-1.43483866	3.417786507730e-03
6.000000	1.000000e+08	-1.34727009	-1.17213295	-1.25970152	2.563339880797e-03
6.000000	1.000000e+08	-1.17213295	-0.99699581	-1.08456438	2.012696498997e-03
6.000000	1.000000e+08	-0.99699581	-0.82185866	-0.90942724	1.803831767969e-03
6.000000	1.000000e+08	-0.82185866	-0.64672152	-0.73429009	1.708893253865e-03
6.000000	1.000000e+08	-0.64672152	-0.47158438	-0.55915295	1.272176088988e-03
6.000000	1.000000e+08	-0.47158438	-0.29644724	-0.38401581	1.215212980526e-03
6.000000	1.000000e+08	-0.29644724	-0.12131009	-0.20887867	9.114097353947e-04
6.000000	1.000000e+08	-0.12131009	0.05382705	-0.03374152	1.006348249498e-03
6.000000	1.000000e+08	0.05382705	0.22896419	0.14139562	7.784958156496e-04
6.000000	1.000000e+08	0.22896419	0.40410133	0.31653276	6.835573015460e-04
6.000000	1.000000e+08	0.40410133	0.57923847	0.49166990	5.506433818009e-04
6.000000	1.000000e+08	0.57923847	0.75437562	0.66680705	4.557048676973e-04
6.000000	1.000000e+08	0.75437562	0.92951276	0.84194419	3.227909479523e-04
6.000000	1.000000e+08	0.92951276	1.10464990	1.01708133	3.607663535937e-04
6.000000	1.000000e+08	1.10464990	1.27978704	1.19221847	2.468401366694e-04
6.000000	1.000000e+08	1.27978704	1.45492419	1.36735562	1.329139197451e-04
6.000000	1.000000e+08	1.45492419	1.63006133	1.54249276	2.468401366694e-04
