log10_mpeak_msun,log10_mstar_median_msun,log10_mstar_lower_msun,log10_mstar_upper_msun,log10_mstar_over_mpeak_median,log10_mstar_over_mpeak_lower,log10_mstar_over_mpeak_upper
14.776000,11.447582,11.403346,11.491818,-3.328418,-3.372654,-3.284182
14.785333,11.456915,11.412679,11.501151,-3.328418,-3.372654,-3.284182
14.813333,11.476872,11.432636,11.521108,-3.336461,-3.380697,-3.292225
14.822667,11.486206,11.441970,11.530441,-3.336461,-3.380697,-3.292225
14.897333,11.552829,11.508593,11.597065,-3.344504,-3.388740,-3.300268
14.906667,11.562163,11.517927,11.606399,-3.344504,-3.388740,-3.300268
14.916000,11.571496,11.527260,11.615732,-3.344504,-3.388740,-3.300268
14.925333,11.584851,11.544636,11.625065,-3.340483,-3.380697,-3.300268
14.934667,11.590163,11.545927,11.634399,-3.344504,-3.388740,-3.300268
14.944000,11.599496,11.555260,11.643732,-3.344504,-3.388740,-3.300268
14.972000,11.623475,11.583260,11.663689,-3.348525,-3.388740,-3.308311
15.000000,11.651475,11.611260,11.691689,-3.348525,-3.388740,-3.308311
